,Year-Month,Week1_EndDate,Week1_Value,Week2_EndDate,Week2_Value,Week3_EndDate,Week3_Value,Week4_EndDate,Week4_Value,Week5_EndDate,Week5_Value
0,2004-04-01,,,2004-04-09 00:00:00,11677.0,2004-04-16 00:00:00,12512.0,2004-04-23 00:00:00,12905.0,2004-04-30 00:00:00,12731.0
1,2004-05-01,2004-05-07 00:00:00,13631.0,2004-05-14 00:00:00,14358.0,2004-05-21 00:00:00,15378.0,2004-05-28 00:00:00,15971.0,,
2,2004-06-01,2004-06-04 00:00:00,16521.0,2004-06-11 00:00:00,15494.0,2004-06-18 00:00:00,13709.0,2004-06-25 00:00:00,11810.0,,
3,2004-07-01,2004-07-02 00:00:00,15297.0,2004-07-09 00:00:00,16361.0,2004-07-16 00:00:00,15949.0,2004-07-23 00:00:00,16577.0,2004-07-30 00:00:00,15236.0
4,2004-08-01,2004-08-06 00:00:00,14767.0,2004-08-13 00:00:00,14215.0,2004-08-20 00:00:00,14512.0,2004-08-27 00:00:00,14395.0,,
5,2004-09-01,2004-09-03 00:00:00,15896.0,2004-09-10 00:00:00,14266.0,2004-09-17 00:00:00,13968.0,2004-09-24 00:00:00,14094.0,,
6,2004-10-01,2004-10-01 00:00:00,13981.0,2004-10-08 00:00:00,14148.0,2004-10-15 00:00:00,14561.0,2004-10-22 00:00:00,15176.0,2004-10-29 00:00:00,14626.0
7,2004-11-01,2004-11-05 00:00:00,16281.0,2004-11-12 00:00:00,13013.0,2004-11-19 00:00:00,16038.0,2004-11-26 00:00:00,16079.0,,
8,2004-12-01,2004-12-03 00:00:00,16141.0,2004-12-10 00:00:00,16356.0,2004-12-17 00:00:00,16596.0,2004-12-24 00:00:00,16644.0,2004-12-31 00:00:00,16698.0
9,2005-01-01,2005-01-07 00:00:00,15925.0,2005-01-14 00:00:00,16548.0,2005-01-21 00:00:00,16912.0,2005-01-28 00:00:00,17480.0,,
10,2005-02-01,2005-02-04 00:00:00,17460.0,2005-02-11 00:00:00,17495.0,2005-02-18 00:00:00,17811.0,2005-02-25 00:00:00,18186.0,,
11,2005-03-01,2005-03-04 00:00:00,19042.0,2005-03-11 00:00:00,19154.0,2005-03-18 00:00:00,20214.0,2005-03-25 00:00:00,20234.0,,
12,2005-04-01,2005-04-01 00:00:00,21149.0,2005-04-08 00:00:00,21927.0,2005-04-15 00:00:00,22234.0,2005-04-22 00:00:00,22780.0,2005-04-29 00:00:00,22529.0
13,2005-05-01,2005-05-06 00:00:00,21952.0,2005-05-13 00:00:00,22047.0,2005-05-20 00:00:00,20540.0,2005-05-27 00:00:00,20417.0,,
14,2005-06-01,2005-06-03 00:00:00,19965.0,2005-06-10 00:00:00,20141.0,2005-06-17 00:00:00,19771.0,2005-06-24 00:00:00,19296.0,,
15,2005-07-01,2005-07-01 00:00:00,18585.0,2005-07-08 00:00:00,18848.0,2005-07-15 00:00:00,18605.0,2005-07-22 00:00:00,18760.0,2005-07-29 00:00:00,19334.0
16,2005-08-01,2005-08-05 00:00:00,18624.0,2005-08-12 00:00:00,18761.0,2005-08-19 00:00:00,17836.0,2005-08-26 00:00:00,17984.0,,
17,2005-09-01,2005-09-02 00:00:00,16640.0,2005-09-09 00:00:00,16087.0,2005-09-16 00:00:00,16064.0,2005-09-23 00:00:00,17222.0,2005-09-30 00:00:00,15523.0
18,2005-10-01,2005-10-07 00:00:00,14700.0,2005-10-14 00:00:00,14619.0,2005-10-21 00:00:00,15010.0,2005-10-28 00:00:00,15603.0,,
19,2005-11-01,2005-11-04 00:00:00,16448.0,2005-11-11 00:00:00,17147.0,2005-11-18 00:00:00,16876.0,2005-11-25 00:00:00,17314.0,,
20,2005-12-01,2005-12-02 00:00:00,17734.0,2005-12-09 00:00:00,21355.0,2005-12-16 00:00:00,21242.0,2005-12-23 00:00:00,22116.0,2005-12-30 00:00:00,21894.0
21,2006-01-01,2006-01-06 00:00:00,21635.0,2006-01-13 00:00:00,21759.0,2006-01-20 00:00:00,21386.0,2006-01-27 00:00:00,21118.0,,
22,2006-02-01,2006-02-03 00:00:00,21087.0,2006-02-10 00:00:00,21267.0,2006-02-17 00:00:00,22439.0,2006-02-24 00:00:00,22244.0,,
23,2006-03-01,2006-03-03 00:00:00,23528.0,2006-03-10 00:00:00,24022.0,2006-03-17 00:00:00,23899.0,2006-03-24 00:00:00,25300.0,2006-03-31 00:00:00,24943.0
24,2006-04-01,2006-04-07 00:00:00,24472.0,2006-04-14 00:00:00,25147.0,2006-04-21 00:00:00,25055.0,2006-04-28 00:00:00,24999.0,,
25,2006-05-01,2006-05-05 00:00:00,25121.0,2006-05-12 00:00:00,24429.0,2006-05-19 00:00:00,23157.0,2006-05-26 00:00:00,22569.0,,
