,Year,Month,SPY Close Price,SPY Monthly Close Price Percentage Change (%)
2,2004,6,1132.757142857143,2.7181851397709345
5,2004,9,1117.6561904761904,2.6375486577427054
7,2004,11,1168.9366666666667,4.549640025486124
8,2004,12,1199.2109090909091,2.589895867547054
10,2005,2,1199.6268421052632,1.5421295695698056
14,2005,6,1202.2554545454545,2.035155267057087
15,2005,7,1222.237,1.662004973984521
19,2005,11,1237.3685714285716,3.809198501872668
20,2005,12,1262.0719047619048,1.9964409880568246
28,2006,8,1287.151304347826,2.135451582641701
29,2006,9,1317.8049999999998,2.3815145545539096
30,2006,10,1363.3845454545453,3.4587473453618234
31,2006,11,1388.6319047619047,1.8518149843734788
32,2006,12,1416.42,2.0011131202447796
36,2007,4,1463.6475,4.029648224159588
37,2007,5,1511.1368181818182,3.244587114166375
41,2007,9,1497.1163157894737,2.9216873264944265
42,2007,10,1539.6591304347828,2.8416505916492474
48,2008,4,1370.469090909091,4.064419713616374
49,2008,5,1403.217619047619,2.3895853146753243
52,2008,8,1281.472380952381,1.920425596277453
60,2009,4,848.1519047619047,12.022435924100039
61,2009,5,902.4084999999999,6.397037480370482
62,2009,6,926.1149999999999,2.6270253438437363
64,2009,8,1009.724761904762,7.897169389383096
65,2009,9,1044.5523809523809,3.4492190705434966
66,2009,10,1067.6636363636362,2.2125511207186532
67,2009,11,1088.069,1.9112165050279906
68,2009,12,1110.3777272727273,2.050304463478625
71,2010,3,1152.0486956521738,5.774054836036369
72,2010,4,1197.3161904761905,3.9293039430412957
77,2010,9,1122.0819047619048,3.20060695437836
78,2010,10,1171.5838095238094,4.411612427918832
79,2010,11,1198.8885714285714,2.3305854590001562
80,2010,12,1241.5254545454545,3.5563674667511425
81,2011,1,1282.6185,3.3098834425098866
82,2011,2,1321.117894736842,3.001624780621981
84,2011,4,1331.5049999999999,2.0712304495723366
87,2011,7,1325.1845,2.943851329521019
90,2011,10,1207.2161904761906,2.839912930106392
91,2011,11,1226.4142857142858,1.5902781448385417
93,2012,1,1300.5774999999999,4.604969861867847
94,2012,2,1352.4875,3.9913038630915887
95,2012,3,1389.24,2.717400345659393
99,2012,7,1359.7761904761905,2.7421485206617247
100,2012,8,1403.4404347826087,3.211134642027158
101,2012,9,1443.4194736842105,2.848645222894297
104,2012,12,1422.2855,1.9916007506976197
105,2013,1,1480.395238095238,4.085659179907131
106,2013,2,1512.3115789473686,2.1559337689572633
107,2013,3,1550.8290000000002,2.546923635897924
109,2013,5,1639.8427272727274,4.401881613464753
111,2013,7,1668.6754545454546,3.0827651535626277
114,2013,10,1720.0265217391304,1.9472224841802221
115,2013,11,1783.541,3.692645285297669
119,2014,3,1863.5233333333333,2.558486942964122
122,2014,6,1947.0876190476188,3.0332031333666354
125,2014,9,1993.2261904761904,1.6157925159077546
127,2014,11,2044.572105263158,5.538593826810101
130,2015,2,2082.1957894736843,2.6633400104420835
138,2015,10,2024.8127272727272,4.135478700708073
139,2015,11,2080.6165,2.755996738643396
143,2016,3,2021.9540909090908,6.171731208717546
144,2016,4,2075.535238095238,2.649968534253744
147,2016,7,2148.902,3.119674926345195
152,2016,12,2246.6290476190475,3.7710795408305797
154,2017,2,2329.9105263157894,2.4084278039356866
155,2017,3,2366.822173913043,1.584251720413521
157,2017,5,2395.345909090909,1.5274145171987774
158,2017,6,2433.9854545454546,1.6131092093170762
162,2017,10,2556.997272727273,2.573620729411674
164,2017,12,2664.3405,2.7272759820305303
165,2018,1,2789.8038095238094,4.708981810838719
169,2018,5,2701.4936363636366,1.8038869084150866
170,2018,6,2754.3528571428574,1.9566664924805188
172,2018,8,2857.8204347826086,2.29725465250068
173,2018,9,2901.5005263157896,1.5284407306193737
177,2019,1,2607.3900000000003,1.561271239742501
178,2019,2,2754.8642105263157,5.656008902631182
179,2019,3,2803.9838095238097,1.7830134352832427
180,2019,4,2903.8,3.559799102161798
183,2019,7,2996.1136363636365,3.6657976172869144
185,2019,9,2982.156,2.9217556964503455
187,2019,11,3104.9044999999996,4.272772324718455
188,2019,12,3176.749523809524,2.3139205669457485
189,2020,1,3278.202857142857,3.193620792981844
192,2020,4,2761.975238095238,4.131423037262105
193,2020,5,2919.6150000000002,5.707500912045704
194,2020,6,3104.6609090909087,6.338024331663883
195,2020,7,3207.6190909090906,3.3162456330321
196,2020,8,3391.71,5.739176126387724
198,2020,10,3418.701363636363,1.5802832740796413
199,2020,11,3548.9925000000003,3.811129505182942
200,2020,12,3695.3100000000004,4.12278977766225
201,2021,1,3793.748421052632,2.663874507216746
202,2021,2,3883.432105263158,2.363986070158086
204,2021,4,4141.176190476191,5.898668771903637
206,2021,6,4238.489545454546,1.6948799483893495
207,2021,7,4363.7128571428575,2.954432477546254
208,2021,8,4454.206363636364,2.0737731710595897
211,2021,11,4667.386666666666,4.633335415001971
