Year,Season,Value
2004,Fall,14779.0
2004,Spring,13645.375
2004,Summer,14987.923076923076
2004,Winter,16487.0
2005,Fall,16096.384615384615
2005,Spring,21093.76923076923
2005,Summer,18962.30769230769
2005,Winter,18627.53846153846
2006,Fall,23258.153846153848
2006,Spring,24357.0
2006,Summer,24434.53846153846
2006,Winter,23333.23076923077
2007,Fall,16739.846153846152
2007,Spring,25840.384615384617
2007,Summer,22038.5
2007,Winter,21128.0
2008,Fall,17053.384615384617
2008,Spring,19206.076923076922
2008,Summer,19434.69230769231
2008,Winter,19698.23076923077
2009,Fall,27453.153846153848
2009,Spring,30570.30769230769
2009,Summer,30916.384615384617
2009,Winter,33934.0
2010,Fall,34151.61538461538
2010,Spring,33902.46153846154
2010,Summer,36815.307692307695
2010,Winter,33718.71428571428
2011,Fall,31515.76923076923
2011,Spring,40751.692307692305
2011,Summer,36278.692307692305
2011,Winter,34842.46153846154
2012,Fall,44186.846153846156
2012,Spring,41740.61538461538
2012,Summer,46221.71428571428
2012,Winter,36483.666666666664
2013,Fall,35642.846153846156
2013,Spring,49972.42857142857
2013,Summer,43317.230769230766
2013,Winter,47458.583333333336
2014,Fall,21281.153846153848
2014,Spring,25843.846153846152
2014,Summer,20022.923076923078
2014,Winter,35231.53846153846
2015,Fall,55047.0
2015,Spring,59119.92307692308
2015,Summer,57295.769230769234
2015,Winter,47258.53846153846
2016,Fall,60703.846153846156
2016,Spring,66521.0
2016,Summer,64728.0
2016,Winter,65176.28571428572
2017,Fall,61750.153846153844
2017,Spring,66995.38461538461
2017,Summer,58539.92307692308
2017,Winter,59976.0
2018,Fall,30034.0
2018,Spring,33873.46153846154
2018,Summer,26717.0
2018,Winter,38009.666666666664
2019,Fall,43171.53846153846
2019,Spring,47007.357142857145
2019,Summer,48316.46153846154
2019,Winter,41407.166666666664
2020,Fall,58291.46153846154
2020,Spring,51977.769230769234
2020,Summer,49892.692307692305
2020,Winter,43456.38461538462
2021,Fall,30961.846153846152
2021,Spring,46390.46153846154
2021,Summer,37871.92307692308
2021,Winter,44705.57142857143
2022,Spring,25711.615384615383
2022,Summer,23063.727272727272
2022,Winter,28841.125
